REF_DATE,GEO,DGUID,Educational qualification,Field of study,Gender,Age group,Status of student in Canada,Characteristics after graduation,Median employment income,Number of graduates
2018,Canada,2016A11124,"Career, technical or professional training certificate",Arts and humanities [b.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,26100.0,400.0
2018,Canada,2016A11124,"Career, technical or professional training certificate",BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,34700.0,3430.0
2018,Canada,2016A11124,"Career, technical or professional training certificate",Business and administration [b.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,35800.0,1370.0
2018,Canada,2016A11124,"Career, technical or professional training certificate",Education and teaching [b.6],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,,10.0
2018,Canada,2016A11124,"Career, technical or professional training certificate",Engineering,"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,37700.0,70.0
2018,Canada,2016A11124,"Career, technical or professional training certificate",Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,37000.0,590.0
2018,Canada,2016A11124,"Career, technical or professional training certificate",Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,,0.0
2018,Canada,2016A11124,"Career, technical or professional training certificate",Mathematics and computer and information sciences [a.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,48600.0,130.0
2018,Canada,2016A11124,"Career, technical or professional training certificate",STEM [a],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,41000.0,230.0
2018,Canada,2016A11124,"Career, technical or professional training certificate",Science tech,"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,37900.0,30.0
2018,Canada,2016A11124,"Career, technical or professional training certificate",Social and behavioural sciences [b.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,36900.0,190.0
2018,Canada,2016A11124,"Career, technical or professional training certificate","Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,35000.0,3650.0
2018,Canada,2016A11124,"Career, technical or professional training certificate","Trades, services, natural resources and conservation [b.7]","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,33200.0,870.0
2018,Canada,2016A11124,"Career, technical or professional training diploma",Arts and humanities [b.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,36200.0,980.0
2018,Canada,2016A11124,"Career, technical or professional training diploma",BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,37300.0,11950.0
2018,Canada,2016A11124,"Career, technical or professional training diploma",Business and administration [b.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,37400.0,6850.0
2018,Canada,2016A11124,"Career, technical or professional training diploma",Education and teaching [b.6],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,37500.0,30.0
2018,Canada,2016A11124,"Career, technical or professional training diploma",Engineering,"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,44900.0,3470.0
2018,Canada,2016A11124,"Career, technical or professional training diploma",Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,47200.0,680.0
2018,Canada,2016A11124,"Career, technical or professional training diploma",Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,41800.0,100.0
2018,Canada,2016A11124,"Career, technical or professional training diploma",Mathematics and computer and information sciences [a.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,42400.0,1910.0
