REF_DATE,GEO,DGUID,Educational qualification,Field of study,Gender,Age group,Status of student in Canada,Characteristics after graduation,Graduate statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2018,Canada,2016A11124,"Career, technical or professional training certificate","Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512136810,1.2.1.1.2.3.4.1,3650,,,,0
2019,Canada,2016A11124,"Career, technical or professional training certificate","Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512136810,1.2.1.1.2.3.4.1,5140,,,,0
2020,Canada,2016A11124,"Career, technical or professional training certificate","Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512136810,1.2.1.1.2.3.4.1,7240,,,,0
2018,Canada,2016A11124,"Career, technical or professional training certificate","Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512136811,1.2.1.1.2.3.4.2,35000,,,,0
2019,Canada,2016A11124,"Career, technical or professional training certificate","Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512136811,1.2.1.1.2.3.4.2,38400,,,,0
2020,Canada,2016A11124,"Career, technical or professional training certificate","Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512136811,1.2.1.1.2.3.4.2,39200,,,,0
2018,Canada,2016A11124,"Career, technical or professional training certificate",STEM [a],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512136873,1.2.2.1.2.3.4.1,230,,,,0
2019,Canada,2016A11124,"Career, technical or professional training certificate",STEM [a],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512136873,1.2.2.1.2.3.4.1,250,,,,0
2020,Canada,2016A11124,"Career, technical or professional training certificate",STEM [a],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512136873,1.2.2.1.2.3.4.1,560,,,,0
2018,Canada,2016A11124,"Career, technical or professional training certificate",STEM [a],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512136874,1.2.2.1.2.3.4.2,41000,,,,0
2019,Canada,2016A11124,"Career, technical or professional training certificate",STEM [a],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512136874,1.2.2.1.2.3.4.2,44400,,,,0
2020,Canada,2016A11124,"Career, technical or professional training certificate",STEM [a],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512136874,1.2.2.1.2.3.4.2,44300,,,,0
2018,Canada,2016A11124,"Career, technical or professional training certificate",Science and science technology [a.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512136936,1.2.3.1.2.3.4.1,30,,,,0
2019,Canada,2016A11124,"Career, technical or professional training certificate",Science and science technology [a.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512136936,1.2.3.1.2.3.4.1,40,,,,0
2020,Canada,2016A11124,"Career, technical or professional training certificate",Science and science technology [a.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512136936,1.2.3.1.2.3.4.1,80,,,,0
2018,Canada,2016A11124,"Career, technical or professional training certificate",Science and science technology [a.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512136937,1.2.3.1.2.3.4.2,37900,,,,0
